timestamp,source,rpm_value,raw_byte,other_source_rpm,raw_frame
1771317700.558,unsolicited,384,6,,C0|06|08|00|00|00|0D
1771317701.417,unsolicited,384,6,,C0|06|08|00|00|00|0D
1771317701.451,unsolicited,384,6,,C0|06|08|00|00|00|0D
1771317701.484,solicited,1198,,384,
1771317701.518,unsolicited,384,6,1198,C0|06|08|00|00|00|0D
1771317703.700,solicited,1204,,384,
1771317703.703,unsolicited,320,5,1204,C0|05|08|00|00|00|0C
1771317703.733,unsolicited,320,5,1204,C0|05|08|00|00|00|0C
1771317703.734,unsolicited,320,5,1204,C0|05|08|00|00|00|0C
1771317705.444,unsolicited,320,5,1204,C0|05|08|00|00|00|0C
1771317705.510,unsolicited,320,5,1204,C0|05|08|00|00|00|0C
1771317705.545,solicited,1196,,320,
1771317705.546,unsolicited,320,5,1196,C0|05|08|00|00|00|0C
1771317705.578,unsolicited,320,5,1196,C0|05|08|00|00|00|0C
1771317705.612,unsolicited,320,5,1196,C0|05|08|00|00|00|0C
1771317705.746,unsolicited,320,5,1196,C0|05|08|00|00|00|0C
1771317705.747,unsolicited,320,5,1196,C0|05|08|00|00|00|0C
1771317705.748,unsolicited,320,5,1196,C0|05|08|00|00|00|0C
1771317707.531,unsolicited,320,5,1196,C0|05|08|00|00|00|0C
1771317707.566,unsolicited,320,5,1196,C0|05|08|00|00|00|0C
1771317707.942,unsolicited,320,5,1196,C0|05|08|00|00|00|0C
1771317710.107,solicited,1188,,320,
1771317710.175,unsolicited,320,5,1188,C0|05|08|00|00|00|0C
1771317710.714,unsolicited,320,5,1188,C0|05|08|00|00|00|0C
1771317710.780,unsolicited,320,5,1188,C0|05|08|00|00|00|0C
1771317713.309,unsolicited,320,5,1188,C0|05|08|00|00|00|0C
1771317713.543,unsolicited,320,5,1188,C0|05|08|00|00|00|0C
1771317713.576,unsolicited,320,5,1188,C0|05|08|00|00|00|0C
1771317714.015,unsolicited,320,5,1188,C0|05|08|00|00|00|0C
1771317714.081,unsolicited,320,5,1188,C0|05|08|00|00|00|0C
1771317714.115,unsolicited,320,5,1188,C0|05|08|00|00|00|0C
1771317714.216,unsolicited,320,5,1188,C0|05|08|00|00|00|0C
1771317714.249,unsolicited,320,5,1188,C0|05|08|00|00|00|0C
1771317714.720,unsolicited,320,5,1188,C0|05|08|00|00|00|0C
1771317714.988,unsolicited,256,4,1188,C0|04|08|00|00|00|0B
1771317714.989,unsolicited,256,4,1188,C0|04|08|00|00|00|0B
1771317714.989,unsolicited,256,4,1188,C0|04|08|00|00|00|0B
1771317715.192,unsolicited,256,4,1188,C0|04|08|00|00|00|0B
1771317715.225,solicited,1195,,256,
1771317717.824,unsolicited,256,4,1195,C0|04|08|00|00|00|0B
1771317718.025,unsolicited,256,4,1195,C0|04|08|00|00|00|0B
1771317718.059,unsolicited,256,4,1195,C0|04|08|00|00|00|0B
1771317718.396,solicited,1209,,256,
1771317718.430,unsolicited,256,4,1209,C0|04|08|00|00|00|0B
1771317718.970,unsolicited,256,4,1209,C0|04|08|00|00|00|0B
1771317719.004,solicited,1192,,256,
1771317719.137,unsolicited,256,4,1192,C0|04|08|00|00|00|0B
1771317719.308,unsolicited,256,4,1192,C0|04|08|00|00|00|0B
