timestamp,source,rpm_value,raw_byte,other_source_rpm,raw_frame
1771333258.710,unsolicited,0,0,,C0|00|08|00|00|00|07
1771333258.712,solicited,0,,0,
1771333259.040,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771333259.075,solicited,0,,0,
1771333259.210,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771333259.242,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771333259.242,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771333260.147,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771333260.148,solicited,0,,0,
1771333260.181,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771333261.923,solicited,0,,0,
1771333261.924,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771333263.813,solicited,0,,0,
1771333264.079,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771333265.456,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771333265.489,solicited,0,,0,
1771333266.262,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771333266.296,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771333266.329,solicited,0,,0,
1771333268.144,solicited,0,,0,
1771333270.733,solicited,0,,0,
1771333271.034,unsolicited,0,0,0,C8|00|08|07|00|00|16
1771333271.068,unsolicited,0,0,0,C8|00|08|07|00|00|16
1771333272.249,solicited,1330,,0,
1771333274.159,unsolicited,512,8,1330,C8|08|08|00|00|00|17
1771333274.159,solicited,1276,,512,
1771333274.765,solicited,1313,,512,
1771333274.933,unsolicited,448,7,1313,C0|07|08|00|00|00|0E
1771333277.222,unsolicited,448,7,1313,C0|07|08|00|00|00|0E
1771333277.256,unsolicited,448,7,1313,C0|07|08|00|00|00|0E
1771333277.256,solicited,1289,,448,
1771333277.289,unsolicited,448,7,1289,C0|07|08|00|00|00|0E
1771333278.332,solicited,1271,,448,
1771333279.807,solicited,1221,,448,
1771333280.112,unsolicited,448,7,1221,C0|07|08|00|00|00|0E
1771333280.752,unsolicited,448,7,1221,C0|07|08|00|00|00|0E
1771333280.752,unsolicited,448,7,1221,C0|07|08|00|00|00|0E
1771333280.752,unsolicited,448,7,1221,C0|07|08|00|00|00|0E
1771333280.785,solicited,1272,,448,
1771333280.888,unsolicited,448,7,1272,C0|07|08|00|00|00|0E
1771333282.637,unsolicited,448,7,1272,C0|07|08|00|00|00|0E
1771333282.670,solicited,1247,,448,
1771333282.703,unsolicited,448,7,1247,C0|07|08|00|00|00|0E
1771333282.972,unsolicited,448,7,1247,C0|07|08|00|00|00|0E
1771333283.650,solicited,1221,,448,
1771333284.554,solicited,1203,,448,
1771333285.255,solicited,1257,,448,
1771333286.605,solicited,1167,,448,
1771333286.875,unsolicited,448,7,1167,C0|07|08|00|00|00|0E
1771333286.909,unsolicited,448,7,1167,C0|07|08|00|00|00|0E
1771333286.909,unsolicited,448,7,1167,C0|07|08|00|00|00|0E
1771333286.910,unsolicited,448,7,1167,C0|07|08|00|00|00|0E
1771333287.145,unsolicited,448,7,1167,C0|07|08|00|00|00|0E
1771333287.146,unsolicited,448,7,1167,C0|07|08|00|00|00|0E
1771333287.178,solicited,1211,,448,
1771333287.213,unsolicited,448,7,1211,C0|07|08|00|00|00|0E
1771333287.818,solicited,1235,,448,
1771333287.985,unsolicited,448,7,1235,C0|07|08|00|00|00|0E
1771333289.127,solicited,1200,,448,
1771333289.932,unsolicited,448,7,1200,C0|07|08|00|00|00|0E
1771333290.235,unsolicited,448,7,1200,C0|07|08|00|00|00|0E
1771333290.268,unsolicited,448,7,1200,C0|07|08|00|00|00|0E
1771333290.503,solicited,1181,,448,
1771333290.571,unsolicited,0,0,1181,C0|00|08|00|00|00|07
