timestamp,source,rpm_value,raw_byte,other_source_rpm,raw_frame
1771339309.734,unsolicited,0,0,,80|00|08|00|00|00|C7
1771339309.752,solicited,0,,0,
1771339312.368,solicited,0,,0,
1771339312.670,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771339323.992,unsolicited,0,0,0,C8|00|08|01|00|00|10
1771339323.993,unsolicited,0,0,0,C8|00|08|01|00|00|10
1771339324.026,solicited,0,,0,
1771339324.261,unsolicited,0,0,0,C8|00|08|04|00|00|13
1771339324.295,unsolicited,0,0,0,C8|00|08|04|00|00|13
1771339326.991,unsolicited,448,7,0,C8|07|08|00|00|00|16
1771339327.022,unsolicited,448,7,0,C8|07|08|00|00|00|16
1771339327.022,solicited,1311,,448,
1771339327.122,unsolicited,448,7,1311,C8|07|08|00|00|00|16
1771339329.381,unsolicited,448,7,1311,C0|07|08|00|00|00|0E
1771339329.381,solicited,1293,,448,
1771339329.784,unsolicited,448,7,1293,C0|07|08|00|00|00|0E
1771339332.405,unsolicited,448,7,1293,C0|07|08|00|00|00|0E
1771339332.439,unsolicited,448,7,1293,C0|07|08|00|00|00|0E
1771339333.380,unsolicited,448,7,1293,C0|07|08|00|00|00|0E
1771339333.413,unsolicited,448,7,1293,C0|07|08|00|00|00|0E
1771339333.413,solicited,1305,,448,
1771339337.291,solicited,1292,,448,
1771339338.303,unsolicited,448,7,1292,C0|07|08|00|00|00|0E
1771339338.336,solicited,1290,,448,
1771339338.437,unsolicited,448,7,1290,C0|07|08|00|00|00|0E
1771339338.470,unsolicited,448,7,1290,C0|07|08|00|00|00|0E
1771339340.687,solicited,1297,,448,
1771339341.564,unsolicited,448,7,1297,C0|07|08|00|00|00|0E
1771339341.595,solicited,1299,,448,
1771339344.697,unsolicited,448,7,1299,C0|07|08|00|00|00|0E
1771339344.729,solicited,1292,,448,
1771339344.763,unsolicited,448,7,1292,C0|07|08|00|00|00|0E
1771339344.965,unsolicited,448,7,1292,C0|07|08|00|00|00|0E
1771339344.998,unsolicited,448,7,1292,C0|07|08|00|00|00|0E
1771339346.443,unsolicited,448,7,1292,C0|07|08|00|00|00|0E
1771339346.477,unsolicited,448,7,1292,C0|07|08|00|00|00|0E
