timestamp,source,rpm_value,raw_byte,other_source_rpm,raw_frame
1771332665.582,solicited,1298,,,
1771332666.260,unsolicited,384,6,1298,C0|06|08|00|00|00|0D
1771332666.294,solicited,1299,,384,
1771332666.530,unsolicited,384,6,1299,C0|06|08|00|00|00|0D
1771332667.033,solicited,1298,,384,
1771332667.037,unsolicited,384,6,1298,C0|06|08|00|00|00|0D
1771332667.300,unsolicited,384,6,1298,C0|06|08|00|00|00|0D
1771332668.552,solicited,1298,,384,
1771332668.618,unsolicited,384,6,1298,C0|06|08|00|00|00|0D
1771332670.227,solicited,1307,,384,
1771332671.980,solicited,1295,,384,
1771332671.980,unsolicited,384,6,1295,C0|06|08|00|00|00|0D
1771332672.013,unsolicited,384,6,1295,C0|06|08|00|00|00|0D
1771332673.969,unsolicited,384,6,1295,C0|06|08|00|00|00|0D
1771332674.003,unsolicited,384,6,1295,C0|06|08|00|00|00|0D
1771332674.009,solicited,1299,,384,
1771332674.340,unsolicited,384,6,1299,C0|06|08|00|00|00|0D
1771332674.341,unsolicited,384,6,1299,C0|06|08|00|00|00|0D
1771332675.080,unsolicited,384,6,1299,C0|06|08|00|00|00|0D
1771332675.081,unsolicited,384,6,1299,C0|06|08|00|00|00|0D
1771332675.113,solicited,1302,,384,
1771332675.116,unsolicited,384,6,1302,C0|06|08|00|00|00|0D
1771332675.148,unsolicited,384,6,1302,C0|06|08|00|00|00|0D
1771332675.148,unsolicited,384,6,1302,C0|06|08|00|00|00|0D
1771332676.190,unsolicited,384,6,1302,C0|06|08|00|00|00|0D
1771332676.223,solicited,1304,,384,
1771332676.257,unsolicited,384,6,1304,C0|06|08|00|00|00|0D
1771332676.258,unsolicited,384,6,1304,C0|06|08|00|00|00|0D
1771332676.527,unsolicited,384,6,1304,C0|06|08|00|00|00|0D
1771332678.845,solicited,1305,,384,
1771332678.945,unsolicited,384,6,1305,C0|06|08|00|00|00|0D
1771332678.946,unsolicited,384,6,1305,C0|06|08|00|00|00|0D
1771332679.993,solicited,1267,,384,
1771332679.995,unsolicited,384,6,1267,C0|06|08|00|00|00|0D
1771332680.059,unsolicited,384,6,1267,C0|06|08|00|00|00|0D
1771332680.937,solicited,1332,,384,
1771332681.005,unsolicited,384,6,1332,C0|06|08|00|00|00|0D
1771332681.510,solicited,1303,,384,
1771332681.513,unsolicited,384,6,1303,C0|06|08|00|00|00|0D
1771332681.514,unsolicited,384,6,1303,C0|06|08|00|00|00|0D
1771332681.778,unsolicited,384,6,1303,C0|06|08|00|00|00|0D
1771332681.878,unsolicited,384,6,1303,C0|06|08|00|00|00|0D
1771332681.879,unsolicited,384,6,1303,C0|06|08|00|00|00|0D
1771332681.912,unsolicited,384,6,1303,C0|06|08|00|00|00|0D
1771332682.452,unsolicited,384,6,1303,C0|06|08|00|00|00|0D
1771332682.551,unsolicited,384,6,1303,C0|06|08|00|00|00|0D
1771332682.584,unsolicited,384,6,1303,C0|06|08|00|00|00|0D
1771332683.796,solicited,1277,,384,
1771332685.886,solicited,1270,,384,
