timestamp,source,rpm_value,raw_byte,other_source_rpm,raw_frame
1771320402.594,unsolicited,0,0,,C0|00|08|00|00|00|07
1771320402.680,solicited,1280,,0,
1771320403.184,unsolicited,0,0,1280,C0|00|08|00|00|00|07
1771320403.252,solicited,1296,,0,
1771320404.087,solicited,1306,,0,
1771320404.222,unsolicited,0,0,1306,C0|00|08|00|00|00|07
1771320404.229,unsolicited,0,0,1306,C0|00|08|00|00|00|07
1771320404.289,unsolicited,0,0,1306,C0|00|08|00|00|00|07
1771320404.727,solicited,1307,,0,
1771320404.795,unsolicited,0,0,1307,C0|00|08|00|00|00|07
1771320405.305,unsolicited,0,0,1307,C0|00|08|00|00|00|07
1771320405.368,solicited,1304,,0,
1771320405.871,solicited,1303,,0,
1771320411.453,unsolicited,0,0,1303,C0|00|08|00|00|00|07
1771320411.895,unsolicited,0,0,1303,C0|00|08|00|00|00|07
1771320412.299,unsolicited,0,0,1303,C0|00|08|00|00|00|07
1771320414.688,unsolicited,0,0,1303,C0|00|08|00|00|00|07
1771320414.720,unsolicited,0,0,1303,C0|00|08|00|00|00|07
1771320414.990,unsolicited,0,0,1303,C0|00|08|00|00|00|07
1771320415.022,unsolicited,0,0,1303,C0|00|08|00|00|00|07
1771320415.660,unsolicited,0,0,1303,C0|00|08|00|00|00|07
1771320415.661,unsolicited,0,0,1303,C0|00|08|00|00|00|07
1771320415.662,unsolicited,0,0,1303,C0|00|08|00|00|00|07
1771320415.728,solicited,1307,,0,
1771320418.733,unsolicited,0,0,1307,C0|00|08|00|00|00|07
1771320418.741,unsolicited,0,0,1307,C0|00|08|00|00|00|07
1771320418.741,unsolicited,0,0,1307,C0|00|08|00|00|00|07
1771320419.540,unsolicited,0,0,1307,C0|00|08|00|00|00|07
1771320419.573,solicited,1287,,0,
1771320419.608,unsolicited,0,0,1287,C0|00|08|00|00|00|07
1771320419.675,unsolicited,0,0,1287,C0|00|08|00|00|00|07
1771320420.179,unsolicited,0,0,1287,C0|00|08|00|00|00|07
1771320420.414,unsolicited,0,0,1287,C0|00|08|00|00|00|07
1771320420.448,unsolicited,0,0,1287,C0|00|08|00|00|00|07
1771320420.482,unsolicited,0,0,1287,C0|00|08|00|00|00|07
1771320421.627,unsolicited,0,0,1287,C0|00|08|00|00|00|07
1771320421.660,unsolicited,0,0,1287,C0|00|08|00|00|00|07
1771320421.694,unsolicited,0,0,1287,C0|00|08|00|00|00|07
