timestamp,source,rpm_value,raw_byte,other_source_rpm,raw_frame
1771320230.109,solicited,1195,,,
1771320230.177,unsolicited,384,6,1195,C0|06|08|00|00|00|0D
1771320231.019,unsolicited,384,6,1195,C0|06|08|00|00|00|0D
1771320233.145,unsolicited,384,6,1195,C0|06|08|00|00|00|0D
1771320233.180,unsolicited,384,6,1195,C0|06|08|00|00|00|0D
1771320234.325,solicited,1204,,384,
1771320235.442,unsolicited,384,6,1204,C0|06|08|00|00|00|0D
1771320235.508,solicited,1196,,384,
1771320235.510,unsolicited,384,6,1196,C0|06|08|00|00|00|0D
1771320235.543,unsolicited,384,6,1196,C0|06|08|00|00|00|0D
1771320240.640,solicited,1200,,384,
1771320240.670,unsolicited,384,6,1200,C0|06|08|00|00|00|0D
1771320240.707,unsolicited,384,6,1200,C0|06|08|00|00|00|0D
1771320241.250,unsolicited,384,6,1200,C0|06|08|00|00|00|0D
1771320241.623,unsolicited,320,5,1200,C0|05|08|00|00|00|0C
1771320241.687,unsolicited,320,5,1200,C0|05|08|00|00|00|0C
1771320245.298,unsolicited,320,5,1200,C0|05|08|00|00|00|0C
1771320245.298,unsolicited,320,5,1200,C0|05|08|00|00|00|0C
1771320245.364,solicited,1202,,320,
1771320246.711,unsolicited,320,5,1202,C0|05|08|00|00|00|0C
1771320248.532,unsolicited,320,5,1202,C0|05|08|00|00|00|0C
1771320248.941,solicited,1198,,320,
1771320249.010,unsolicited,320,5,1198,C0|05|08|00|00|00|0C
1771320250.160,solicited,1196,,320,
1771320251.507,unsolicited,320,5,1196,C0|05|08|00|00|00|0C
1771320251.576,unsolicited,320,5,1196,C0|05|08|00|00|00|0C
1771320251.580,solicited,1203,,320,
1771320258.288,unsolicited,320,5,1203,C0|05|08|00|00|00|0C
1771320258.563,unsolicited,0,0,1203,C0|00|08|00|00|00|07
1771320258.593,unsolicited,0,0,1203,C0|00|08|00|00|00|07
1771320259.104,unsolicited,320,5,1203,C0|05|08|00|00|00|0C
1771320259.112,unsolicited,320,5,1203,C0|05|08|00|00|00|0C
1771320259.172,unsolicited,320,5,1203,C0|05|08|00|00|00|0C
1771320259.374,unsolicited,320,5,1203,C0|05|08|00|00|00|0C
1771320259.375,unsolicited,320,5,1203,C0|05|08|00|00|00|0C
1771320259.376,unsolicited,320,5,1203,C0|05|08|00|00|00|0C
1771320259.541,unsolicited,320,5,1203,C0|05|08|00|00|00|0C
1771320259.608,unsolicited,320,5,1203,C0|05|08|00|00|00|0C
1771320259.609,unsolicited,320,5,1203,C0|05|08|00|00|00|0C
1771320260.318,unsolicited,320,5,1203,C0|05|08|00|00|00|0C
1771320260.349,unsolicited,320,5,1203,C0|05|08|00|00|00|0C
1771320260.350,unsolicited,320,5,1203,C0|05|08|00|00|00|0C
1771320260.382,unsolicited,320,5,1203,C0|05|08|00|00|00|0C
1771320260.415,solicited,1185,,320,
1771320260.919,solicited,1185,,320,
1771320261.122,unsolicited,320,5,1185,C0|05|08|00|00|00|0C
1771320261.625,unsolicited,320,5,1185,C0|05|08|00|00|00|0C
1771320262.603,unsolicited,320,5,1185,C0|05|08|00|00|00|0C
1771320262.906,unsolicited,320,5,1185,C0|05|08|00|00|00|0C
1771320263.178,unsolicited,320,5,1185,C0|05|08|00|00|00|0C
1771320263.246,solicited,1206,,320,
1771320263.247,unsolicited,320,5,1206,C0|05|08|00|00|00|0C
1771320263.280,unsolicited,320,5,1206,C0|05|08|00|00|00|0C
1771320263.313,unsolicited,320,5,1206,C0|05|08|00|00|00|0C
1771320264.302,solicited,1206,,320,
1771320264.906,unsolicited,320,5,1206,C0|05|08|00|00|00|0C
1771320264.939,unsolicited,320,5,1206,C0|05|08|00|00|00|0C
1771320264.940,unsolicited,320,5,1206,C0|05|08|00|00|00|0C
1771320265.788,solicited,1203,,320,
1771320266.824,unsolicited,320,5,1203,C0|05|08|00|00|00|0C
1771320267.231,unsolicited,320,5,1203,C0|05|08|00|00|00|0C
1771320268.808,unsolicited,320,5,1203,C0|05|08|00|00|00|0C
1771320269.177,unsolicited,320,5,1203,C0|05|08|00|00|00|0C
1771320269.210,unsolicited,320,5,1203,C0|05|08|00|00|00|0C
1771320269.547,solicited,1198,,320,
1771320270.352,unsolicited,384,6,1198,C0|06|08|00|00|00|0D
