timestamp,source,rpm_value,raw_byte,other_source_rpm,raw_frame
1771335827.819,unsolicited,0,0,,C0|00|08|00|00|00|07
1771335827.820,solicited,0,,0,
1771335827.820,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771335827.821,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771335827.821,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771335827.822,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771335830.160,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771335830.193,solicited,0,,0,
1771335830.564,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771335830.565,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771335830.565,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771335830.598,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771335830.598,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771335830.732,solicited,0,,0,
1771335830.732,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771335830.934,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771335831.232,solicited,0,,0,
1771335831.233,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771335831.266,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771335831.299,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771335831.299,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771335831.299,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771335831.299,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771335831.332,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771335831.431,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771335831.532,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771335831.698,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771335831.731,solicited,0,,0,
1771335831.732,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771335831.765,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771335832.238,solicited,0,,0,
1771335832.572,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771335833.178,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771335833.476,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771335833.477,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771335833.477,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771335833.510,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771335833.542,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771335833.543,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771335833.710,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771335834.080,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771335834.247,solicited,0,,0,
1771335834.247,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771335834.582,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771335834.616,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771335834.650,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771335836.858,solicited,0,,0,
1771335837.293,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771335837.393,solicited,0,,0,
1771335837.393,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771335837.394,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771335837.525,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771335837.525,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771335837.559,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771335837.625,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771335837.659,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771335837.692,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771335837.693,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771335837.726,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771335837.726,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771335837.893,solicited,0,,0,
1771335837.893,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771335837.961,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771335838.197,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771335838.398,solicited,0,,0,
1771335838.399,unsolicited,0,0,0,C8|00|08|00|00|00|0F
1771335838.431,unsolicited,0,0,0,C8|00|08|01|00|00|10
1771335838.499,unsolicited,0,0,0,C8|00|08|02|00|00|11
1771335838.968,solicited,0,,0,
1771335838.968,unsolicited,0,0,0,C8|00|08|07|00|00|16
1771335839.275,unsolicited,0,0,0,C8|00|08|04|00|00|13
1771335839.374,unsolicited,0,0,0,C8|00|08|03|00|00|12
1771335839.406,unsolicited,0,0,0,C8|00|08|02|00|00|11
1771335839.609,solicited,1221,,0,
1771335839.745,unsolicited,0,0,1221,C8|00|08|00|00|00|0F
1771335839.946,unsolicited,0,0,1221,C8|00|08|00|00|00|0F
1771335839.947,unsolicited,0,0,1221,C8|00|08|00|00|00|0F
1771335839.947,unsolicited,0,0,1221,C8|00|08|00|00|00|0F
1771335840.079,unsolicited,0,0,1221,C8|00|08|00|00|00|0F
1771335840.079,unsolicited,0,0,1221,C8|00|08|00|00|00|0F
1771335840.111,solicited,1371,,0,
1771335842.519,solicited,1252,,0,
1771335842.586,unsolicited,0,0,1252,C0|00|08|00|00|00|07
1771335843.257,solicited,1321,,0,
1771335843.389,unsolicited,0,0,1321,C0|00|08|00|00|00|07
1771335843.391,unsolicited,0,0,1321,C0|00|08|00|00|00|07
1771335845.226,unsolicited,0,0,1321,C0|00|08|00|00|00|07
1771335845.227,solicited,1349,,0,
1771335845.327,unsolicited,0,0,1349,C0|00|08|00|00|00|07
1771335848.575,solicited,1280,,0,
1771335848.577,unsolicited,0,0,1280,C0|00|08|00|00|00|07
1771335848.609,unsolicited,0,0,1280,C0|00|08|00|00|00|07
1771335848.841,unsolicited,0,0,1280,C0|00|08|00|00|00|07
1771335848.874,unsolicited,0,0,1280,C0|00|08|00|00|00|07
1771335849.408,unsolicited,0,0,1280,C0|00|08|00|00|00|07
1771335849.409,unsolicited,0,0,1280,C0|00|08|00|00|00|07
1771335849.443,unsolicited,0,0,1280,C0|00|08|00|00|00|07
1771335849.542,unsolicited,0,0,1280,C0|00|08|00|00|00|07
1771335849.543,unsolicited,0,0,1280,C0|00|08|00|00|00|07
1771335849.610,unsolicited,0,0,1280,C0|00|08|00|00|00|07
1771335850.785,unsolicited,0,0,1280,C0|00|08|00|00|00|07
1771335850.817,solicited,1283,,0,
1771335850.949,unsolicited,0,0,1283,C0|00|08|00|00|00|07
1771335850.951,unsolicited,0,0,1283,C0|00|08|00|00|00|07
1771335850.951,unsolicited,0,0,1283,C0|00|08|00|00|00|07
1771335851.284,unsolicited,0,0,1283,C0|00|08|00|00|00|07
1771335853.161,unsolicited,0,0,1283,C0|00|08|00|00|00|07
1771335853.161,unsolicited,0,0,1283,C0|00|08|00|00|00|07
1771335853.194,solicited,1271,,0,
1771335853.834,unsolicited,0,0,1271,C0|00|08|00|00|00|07
1771335853.868,unsolicited,512,8,1271,C0|08|08|00|00|00|0F
1771335853.869,unsolicited,512,8,1271,C0|08|08|00|00|00|0F
1771335853.901,solicited,1256,,512,
1771335854.876,solicited,1266,,512,
1771335855.175,unsolicited,448,7,1266,C0|07|08|00|00|00|0E
1771335855.175,unsolicited,448,7,1266,C0|07|08|00|00|00|0E
1771335855.175,unsolicited,448,7,1266,C0|07|08|00|00|00|0E
1771335856.925,solicited,1201,,448,
1771335857.024,unsolicited,448,7,1201,C0|07|08|00|00|00|0E
1771335857.896,unsolicited,448,7,1201,C0|07|08|00|00|00|0E
1771335857.929,solicited,1201,,448,
1771335858.229,unsolicited,448,7,1201,C0|07|08|00|00|00|0E
1771335858.297,unsolicited,0,0,1201,C0|00|08|00|00|00|07
1771335858.497,solicited,1210,,0,
1771335858.629,unsolicited,0,0,1210,C0|00|08|00|00|00|07
1771335858.632,unsolicited,0,0,1210,C0|00|08|00|00|00|07
1771335858.763,unsolicited,0,0,1210,C0|00|08|00|00|00|07
1771335858.796,unsolicited,0,0,1210,C0|00|08|00|00|00|07
1771335858.797,unsolicited,0,0,1210,C0|00|08|00|00|00|07
1771335859.669,unsolicited,0,0,1210,C0|00|08|00|00|00|07
1771335859.702,solicited,114,,0,
1771335860.039,unsolicited,0,0,114,C0|00|08|00|00|00|07
1771335860.206,unsolicited,0,0,114,C0|00|08|00|00|00|07
1771335860.207,unsolicited,0,0,114,C0|00|08|00|00|00|07
1771335860.240,unsolicited,0,0,114,C0|00|08|00|00|00|07
1771335860.439,unsolicited,0,0,114,C0|00|08|00|00|00|07
1771335860.472,unsolicited,0,0,114,C0|00|08|00|00|00|07
1771335860.473,unsolicited,0,0,114,C0|00|08|00|00|00|07
1771335860.505,unsolicited,0,0,114,C0|00|08|00|00|00|07
1771335860.571,unsolicited,0,0,114,C0|00|08|00|00|00|07
1771335860.572,unsolicited,0,0,114,C0|00|08|00|00|00|07
1771335860.572,unsolicited,0,0,114,C0|00|08|00|00|00|07
1771335860.605,unsolicited,0,0,114,C0|00|08|00|00|00|07
1771335860.638,unsolicited,0,0,114,C0|00|08|00|00|00|07
1771335860.638,unsolicited,0,0,114,C0|00|08|00|00|00|07
1771335860.639,unsolicited,0,0,114,C0|00|08|00|00|00|07
1771335860.672,unsolicited,0,0,114,C0|00|08|00|00|00|07
1771335860.707,unsolicited,0,0,114,C0|00|08|00|00|00|07
1771335860.740,unsolicited,0,0,114,C0|00|08|00|00|00|07
1771335860.774,solicited,0,,0,
1771335860.842,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771335860.875,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771335860.909,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771335860.943,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771335860.944,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771335861.143,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771335861.310,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771335861.310,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771335861.344,solicited,0,,0,
1771335861.443,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771335861.511,unsolicited,0,0,0,C0|00|08|00|00|00|07
1771335861.846,solicited,0,,0,
