timestamp,source,rpm_value,raw_byte,other_source_rpm,raw_frame
1771336539.522,unsolicited,0,0,,C8|00|08|00|00|00|0F
1771336539.539,unsolicited,0,0,,C8|00|08|00|00|00|0F
1771336539.541,unsolicited,0,0,,C8|00|08|00|00|00|0F
1771336539.543,unsolicited,0,0,,C8|00|08|00|00|00|0F
1771336539.547,unsolicited,0,0,,C8|00|08|00|00|00|0F
1771336539.547,solicited,1150,,0,
1771336539.886,solicited,1204,,0,
1771336539.919,unsolicited,0,0,1204,C0|00|08|00|00|00|07
1771336539.923,unsolicited,0,0,1204,C0|00|08|00|00|00|07
1771336539.986,unsolicited,0,0,1204,C0|00|08|00|00|00|07
1771336540.321,unsolicited,0,0,1204,C0|00|08|00|00|00|07
1771336540.322,unsolicited,0,0,1204,C0|00|08|00|00|00|07
1771336540.324,unsolicited,0,0,1204,C0|00|08|00|00|00|07
1771336540.354,unsolicited,0,0,1204,C0|00|08|00|00|00|07
1771336540.388,unsolicited,0,0,1204,C0|00|08|00|00|00|07
1771336540.389,solicited,1264,,0,
1771336540.423,unsolicited,0,0,1264,C0|00|08|00|00|00|07
1771336540.659,unsolicited,0,0,1264,C0|00|08|00|00|00|07
1771336540.660,unsolicited,0,0,1264,C0|00|08|00|00|00|07
1771336540.761,unsolicited,0,0,1264,C0|00|08|00|00|00|07
1771336540.761,unsolicited,0,0,1264,C0|00|08|00|00|00|07
1771336540.762,unsolicited,0,0,1264,C0|00|08|00|00|00|07
1771336540.795,unsolicited,0,0,1264,C0|00|08|00|00|00|07
1771336540.796,unsolicited,0,0,1264,C0|00|08|00|00|00|07
1771336540.828,unsolicited,0,0,1264,C0|00|08|00|00|00|07
1771336540.829,unsolicited,0,0,1264,C0|00|08|00|00|00|07
1771336540.896,solicited,1310,,0,
1771336540.930,unsolicited,0,0,1310,C0|00|08|00|00|00|07
1771336541.133,unsolicited,0,0,1310,C0|00|08|00|00|00|07
1771336541.334,unsolicited,0,0,1310,C0|00|08|00|00|00|07
1771336541.366,unsolicited,0,0,1310,C0|00|08|00|00|00|07
1771336541.869,unsolicited,0,0,1310,C0|00|08|00|00|00|07
1771336541.905,unsolicited,0,0,1310,C0|00|08|00|00|00|07
1771336543.212,solicited,1347,,0,
1771336543.480,unsolicited,0,0,1347,C0|00|08|00|00|00|07
1771336543.815,solicited,1353,,0,
1771336543.918,unsolicited,0,0,1353,C0|00|08|00|00|00|07
1771336543.952,unsolicited,0,0,1353,C0|00|08|00|00|00|07
1771336543.953,unsolicited,0,0,1353,C0|00|08|00|00|00|07
1771336544.121,unsolicited,0,0,1353,C0|00|08|00|00|00|07
1771336544.221,unsolicited,0,0,1353,C0|00|08|00|00|00|07
1771336544.223,unsolicited,0,0,1353,C0|00|08|00|00|00|07
1771336544.223,unsolicited,0,0,1353,C0|00|08|00|00|00|07
1771336544.320,unsolicited,0,0,1353,C0|00|08|00|00|00|07
1771336544.322,unsolicited,0,0,1353,C0|00|08|00|00|00|07
1771336544.322,unsolicited,0,0,1353,C0|00|08|00|00|00|07
1771336544.354,solicited,1349,,0,
1771336545.093,unsolicited,0,0,1349,C0|00|08|00|00|00|07
1771336545.465,unsolicited,0,0,1349,C0|00|08|00|00|00|07
1771336545.498,unsolicited,0,0,1349,C0|00|08|00|00|00|07
1771336545.499,unsolicited,0,0,1349,C0|00|08|00|00|00|07
1771336545.735,unsolicited,0,0,1349,C0|00|08|00|00|00|07
1771336545.768,unsolicited,0,0,1349,C0|00|08|00|00|00|07
1771336545.768,solicited,1316,,0,
