timestamp,source,rpm_value,raw_byte,other_source_rpm,raw_frame
1771324114.491,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324114.525,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324114.593,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324114.628,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324114.795,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324114.828,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324114.927,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324114.927,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324115.132,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324115.233,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324115.266,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324115.370,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324115.503,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324115.504,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324115.636,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324115.637,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324115.669,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324115.670,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324115.703,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324115.770,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324115.771,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324115.872,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324116.211,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324116.279,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324116.346,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324116.415,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324116.480,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324116.481,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324116.550,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324116.649,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324116.650,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324116.782,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324116.783,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324116.884,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324116.984,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324117.052,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324117.187,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324117.219,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324117.220,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324117.321,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324117.355,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324117.388,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324117.556,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324117.625,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324117.830,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324117.863,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324117.897,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324117.930,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324118.030,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324118.097,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324118.131,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324118.268,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324118.406,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324118.439,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324118.474,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324118.474,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324118.540,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324118.606,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324118.607,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324118.775,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324118.975,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324118.975,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324119.109,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324119.143,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324119.346,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324119.380,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324119.412,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324119.413,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324119.415,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324119.445,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324119.514,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324119.548,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324119.549,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324119.650,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324119.716,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324119.717,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324119.850,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324119.950,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324120.085,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324120.153,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324120.320,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324120.321,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324120.354,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324120.454,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324120.521,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324120.555,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324120.589,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324120.621,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324120.689,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324120.755,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324120.756,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324120.790,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324120.791,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324120.957,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324120.958,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324121.094,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324121.162,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324121.163,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324121.229,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324121.329,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324121.361,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324121.429,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324121.564,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324121.732,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324121.901,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324121.935,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324121.969,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324122.003,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324122.071,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324122.204,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324122.237,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324122.340,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324122.543,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324122.914,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324122.915,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324122.916,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324123.018,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324123.084,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324123.119,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324123.354,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324123.490,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324123.590,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324123.692,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324123.725,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324123.794,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324123.898,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324123.998,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324124.098,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324124.166,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324124.302,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324124.368,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324124.435,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324124.436,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324124.469,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324124.603,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324124.603,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324124.635,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324124.772,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324124.908,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324124.976,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324125.044,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324125.045,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324125.112,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324125.144,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324125.145,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324125.178,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324125.349,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324125.448,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324125.550,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324125.584,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324125.787,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324125.820,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324126.056,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324126.057,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324126.090,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324126.157,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324126.260,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324126.359,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324126.360,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324126.461,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324126.528,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324126.663,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324126.665,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324126.666,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324126.698,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324126.732,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324126.832,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324126.864,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324127.137,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324127.171,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324127.172,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324127.508,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324127.644,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324127.779,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324127.780,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324127.814,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324127.914,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324127.981,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324128.150,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324128.185,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324128.218,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324128.319,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324128.319,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324128.488,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324128.489,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324128.521,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324128.522,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324128.555,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324128.587,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324128.688,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324128.789,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324128.890,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324129.024,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324129.159,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324129.327,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324129.328,unsolicited,0,0,,C0|00|08|00|00|00|07
1771324129.360,unsolicited,0,0,,C0|00|08|00|00|00|07
