timestamp,seq,raw_value,div2,minus18_div2,minus40,full_data
1619456,4592,70,35.0,26.0,30,00 46 C1 00
1739725,10311,68,34.0,25.0,28,00 44 60 80
1759135,11361,70,35.0,26.0,30,00 46 C1 80
605952,28305,68,34.0,25.0,28,00 44 60 80
849373,39871,64,32.0,23.0,24,00 40 65 00
1469823,62858,70,35.0,26.0,30,00 46 C1 80
